Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Aaron Cresswell,175,66,3,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,LB,"LB, CB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hickey,185,72,5,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,RB,"RB, RWB, LB",1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Aaron Ramsdale,191,77,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aaron Ramsey,181,73,3,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,LM,"LM, CM, CAM",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Aaron Wan-Bissaka,183,72,2,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0,0.1,0.1,0,0.1,0.01,0.08,0.08,0.01,0.08,RB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,184,76,3,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Adam Lallana,178,73,5,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0,0.11,0.11,0,0.11,0.09,0.18,0.27,0.09,0.27,CAM,"CAM, CM, CDM",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Adam Smith,180,78,3,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,24,89,28,0,0.08,0.08,0,0.08,0,0.05,0.06,0,0.06,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Adam Webster,191,75,4,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16,80,2,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama Traoré,178,86,2,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29,16,48,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,RW,"RW, RM, ST",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Alejandro Garnacho,180,72,4,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,LW,"LW, LM",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Alejo Véliz,186,77,3,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,0,1,3,1.8,0,1.8,1.8,1.8,0.45,0,0.45,0.45,0.45,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alex Iwobi,185,75,3,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0,0,0,0,0,0.21,0.14,0.35,0.21,0.35,RM,"RM, CM",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Alex Iwobi,185,75,3,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,RM,"RM, CM",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Álex Moreno,179,68,3,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,32,24,83,0.17,0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Murphy,188,76,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CB,"CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Scott,180,70,3,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,CM,"CM, CAM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
